id,symbol,symbolName,slug,bscContract
1027,ETH,Ethereum,ethereum,0x2170ed0880ac9a755fd29b2688956bd959f933f8
2010,ADA,Cardano,cardano,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47
1839,BNB,Binance Coin,binance-coin,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
825,USDT,Tether,tether,0x55d398326f99059ff775485246999027b3197955
52,XRP,XRP,xrp,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe
74,DOGE,Dogecoin,dogecoin,0xba2ae424d960c26247dd6c32edc70b295c744c43
6636,DOT,Polkadot,polkadot-new,0x7083609fce4d1d8dc0c979aab8c869ea2c873402
3408,USDC,USD Coin,usd-coin,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d
7083,UNI,Uniswap,uniswap,0xbf5140a22578168fd562dccf235e5d43a02ce9b1
1831,BCH,Bitcoin Cash,bitcoin-cash,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf
1975,LINK,Chainlink,chainlink,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd
4687,BUSD,Binance USD,binance-usd,0xe9e7cea3dedca5984780bafc599bd69add087d56
2,LTC,Litecoin,litecoin,0x4338665cbb7b2485a8855a139b75d5e34ab0db94
3890,MATIC,Polygon,polygon,0xcc42724c6683b7e57334c4e856f4c9965ed682bd
1321,ETC,Ethereum Classic,ethereum-classic,0x3d6545b08693dae087e957cb1180ee38b9e3c25e
5805,AVAX,Avalanche,avalanche,0x1ce0c2827e2ef14d5c4f29a091d735a204794041
2280,FIL,Filecoin,filecoin,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153
1958,TRX,TRON,tron,0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b
4943,DAI,Dai,multi-collateral-dai,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3
7278,AAVE,Aave,aave,0xfb6115445bff7b52feb98650c87f44907e58f802
1765,EOS,EOS,eos,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6
7186,CAKE,PancakeSwap,pancakeswap,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
6719,GRT,The Graph,the-graph,
3794,ATOM,Cosmos,cosmos,0x0eb3a705fc54725037cc9e008bdede697f62f335
1518,MKR,Maker,maker,0x5f0da599bb2cccfcf6fdfd7d81743b6020864350
4023,BTCB,Bitcoin BEP2,bitcoin-bep2,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c
2011,XTZ,Tezos,tezos,0x16939ef78684453bfdfb47825f8a5f714f12623a
1720,MIOTA,IOTA,iota,0xd944f1d1e9d5f9bb90b62f9d45e447d989580782
6892,EGLD,Elrond,elrond-egld,0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe
3718,BTT,BitTorrent,bittorrent,0x8595f9da7b868b1822194faed312235e43007b49
5692,COMP,Compound,compound,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8
7129,UST,TerraUSD,terrausd,0x23396cf899ca06c4472205fc903bdb4de249d6fc
6535,NEAR,NEAR Protocol,near-protocol,0x1fa4a73a3f0133f0025378af00236f3abdee5d63
1437,ZEC,Zcash,zcash,0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb
6758,SUSHI,SushiSwap,sushiswap,0x947950BcC74888a40Ffa2593C5798F11Fc9124C4
2586,SNX,Synthetix,synthetix-network-token,0x9ac983826058b8a9c7aa1c9171441191232e8404
5864,YFI,yearn.finance,yearn-finance,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e
2563,TUSD,TrueUSD,trueusd,0x14016e85a25aeb13065688cafb43044c2ef86784
3513,FTM,Fantom,fantom,0xad29abb318791d579433d831ed122afeaf29dcfe
2469,ZIL,Zilliqa,zilliqa,0xb86abcb37c3a4b64f74f59301aff131a1becc787
1697,BAT,Basic Attention Token,basic-attention-token,0x101d82428437127bf1608f699cd651e6abf9766e
3945,ONE,Harmony,harmony,0x03fF0ff224f904be3118461335064bB48Df47938
3330,PAX,Paxos Standard,paxos-standard,0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094
2566,ONT,Ontology,ontology,0xfd7b3a77848f1c2d67e05e54d78d174a0c850335
8335,MDX,Mdex,mdex,0x9c65ab58d8d978db963e63f2bfb7121627e3a739
2777,IOTX,IoTeX,iotex,0x9678e42cebeb63f23197d726b29b1cb20d0064e5
3783,ANKR,Ankr,ankr,0xf307910a4c7bbc79691fd374889b36d8531b08e3
4279,SXP,Swipe,swipe,0x47bead2563dcbf3bf2c9407fea4dc236faba485a
5777,RENBTC,renBTC,renbtc,0xfce146bf3146100cfe5db4129cf6c82b0ef4ad8c
8104,1INCH,1inch,1inch,0x111111111117dc0aa78b770fa6a738034120c302
4206,WIN,WINkLink,wink,0xaef0d72a118ce24fee3cd1d43d383897d05b4e99
5068,USDN,Neutrino USD,neutrino-usd,0x03ab98f5dc94996f8c33e15cd4468794d12d41f9
7064,BAKE,BakeryToken,bakerytoken,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5
7232,ALPHA,Alpha Finance Lab,alpha-finance-lab,0xa1faa113cbe53436df28ff0aee54275c13b40975
7501,WOO,Wootrade,wootrade,0x4691937a7508860f876c9c0a2a617e7d9e945d4b
7288,XVS,Venus,venus,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63
7226,INJ,Injective Protocol,injective-protocol,0xa2b726b1145a4773f68593cf171187d8ebe4d495
4120,PROM,Prometeus,prometeus,0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5
4705,PAXG,PAX Gold,pax-gold,0x7950865a9140cb519342433146ed5b40c6f210f7
4679,BAND,Band Protocol,band-protocol,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18
5444,CTSI,Cartesi,cartesi,0x8da443f84fea710266c8eb6bc34b71702d033ef2
6951,REEF,Reef,reef,0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e
8891,BTCST,Bitcoin Standard Hashrate Token,btc-standard-hashrate-token,0x78650b139471520656b9e7aa7a5e9276814a38e9
3814,CELR,Celer Network,celer-network,0x1f9f6a696c6fd109cd3956f45dc709d2b3902163
3992,COTI,COTI,coti,0xadbaf88b39d37dc68775ed1541f1bf83a5a45feb
7224,DODO,DODO,dodo,
3978,CHR,Chromia,chromia,0xf9CeC8d50f6c8ad3Fb6dcCEC577e05aA32B224FE
7192,WBNB,Wrapped BNB,wbnb,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
5075,EGR,Egoras,egoras,0x8e9a916b6920136110a77e9acaf878862358a467
8757,SAFEMOON,SafeMoon,safemoon,0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3
7961,vBNB,Venus BNB,venus-bnb,0xA07c5b74C9B40447a954e1466938b865b6BBea36
10903,C98,Coin98,coin98,0xaec945e04baf28b135fa7c640f624f8d90f1c3a6
5614,ZLW,Zelwin,zelwin,0x5dd1e31e1a0e2e077ac98d2a4b781f418ca50387
9119,TLM,Alien Worlds,alien-worlds,0x2222227e22102fe3322098e4cbfe18cfebd57c95
7102,LINA,Linear,linear,0x762539b45a1dcce3d36d080f74d1aed37844b878
9020,TKO,Toko Token,tokocrypto,0x9f589e3eabe42ebc94a44727b3f3531c0c877809
8938,EPS,Ellipsis,ellipsis,0xa7f552078dcc247c2684336020c03648500c6d9f
8707,ALPACA,Alpaca Finance,alpaca-finance,0x8f0528ce5ef7b51152a59745befdd91d97091d2f
8384,CLV,Clover Finance,clover,0x09E889BB4D5b474f561db0491C38702F367A4e4d
7962,vBTC,Venus BTC,venus-btc,0x882C173bC7Ff3b7786CA16dfeD3DFFfb9Ee7847B
5964,TWT,Trust Wallet Token,trust-wallet-token,0x4b0f1812e5df2a09796481ff14017e6005508003
8497,BANANA,ApeSwap Finance,apeswap-finance,0x603c7f932ED1fc6575303D8Fb018fDCBb0f39a95
4842,FLG,Folgory Coin,folgory-coin,0x3aE8dAeb24d02d450eB81dEA242B1B57772aaD47
2299,ELF,aelf,aelf,0xa3f020a5c92e15be13caf0ee5c95cf79585eecc9
2776,AVA,Travala.com,travala,0x13616f44ba82d63c8c0dc3ff843d36a8ec1c05a9
5957,YFII,DFI.Money,yearn-finance-ii,0x7f70642d88cf1c4a3a7abb072b53b929b653eda5
7960,vXVS,Venus XVS,venus-xvs,0x151B1e2635A717bcDc836ECd6FbB62B674FE3E1D
8119,SFP,SafePal,safepal,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb
5616,MATH,MATH,math,0xf218184af829cf2b0019f8e6f0b2423498a36983
9175,MBOX,MOBOX,mobox,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377
5947,TPT,TokenPocket,tokenpocket,0xeca41281c24451168a37211f0bc2b8645af45092
7963,vETH,Venus ETH,venus-eth,0xf508fCD89b8bd15579dc79A6827cB4686A3592c8
10897,ALT,Alitas,alitas,0x5ca09af27b8a4f1d636380909087536bc7e2d94d
7208,POLS,Polkastarter,polkastarter,0x7e624fa0e1c4abfd309cc15719b7e2580887f570
7463,RAMP,RAMP,ramp,0x8519ea49c997f50ceffa444d240fb655e89248aa
6193,CREAM,Cream Finance,cream-finance,0xd4cb328a82bdf5f03eb737f37fa6b370aef3e888
4807,CTK,CertiK,certik,0xa8c2b8eec3d368c0253ad3dae65a5f2bbb89c929
5810,BZRX,bZx Protocol,bzx-protocol,0x4b87642aedf10b642be4663db842ecc5a88bf5ba
10188,ATA,Automata Network,automata-network,0xa2120b9e674d3fc3875f415a7df52e382f141225
8536,MASK,Mask Network,mask-network,0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3
4890,NWC,Newscrypto,newscrypto,0x968f6f898a6df937fc1859b323ac2f14643e3fed
5410,PRQ,PARSIQ,parsiq,0xd21d29b38374528675c34936bf7d5dd693d2a577
5354,PEAK,PEAKDEFI,peakdefi,0x630d98424efe0ea27fb1b3ab7741907dffeaad78
8290,SUPER,SuperFarm,superfarm,0x51ba0b044d96c3abfca52b64d733603ccc4f0d4d
7958,vUSDC,Venus USDC,venus-usdc,0xeca88125a5adbe82614ffc12d0db554e2e2867c8
7087,DEGO,Dego Finance,dego-finance,0x3fda9383a84c05ec8f7630fe10adf1fac13241cc
8730,BELT,Belt Finance,belt,0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f
2588,LOOM,Loom Network,loom-network,0xe6ce27025f13f5213bbc560dc275e292965a392f
7654,RFOX,RedFOX Labs,redfox-labs,0x0a3a21356793b49154fd3bbe91cbc2a16c0457f5
8755,NRV,Nerve Finance,nerve-finance,0x42F6f551ae042cBe50C739158b4f0CAC0Edb9096
5266,MLK,MiL.k,milk-alliance,
3714,LTO,LTO Network,lto-network,0x857b222fc79e1cbbf8ca5f78cb133d1b7cf34bbd
7311,BIFI,Beefy.Finance,beefy-finance,0xCa3F508B8e4Dd382eE878A314789373D80A5190A
7824,VAI,Vai,vai,0x4bd17003473389a42daf6a0a729f6fdb328bbbd7
5113,SURE,inSure DeFi,insure,0x9b17baadf0f21f03e35249e0e59723f34994f806
7617,SFI,saffron.finance,saffron-finance,
7798,DG,Decentral Games,decentral-games,0x9fdc3ae5c814b79dca2556564047c5e7e5449c19
3936,GNY,GNY,gny,0xe4A4Ad6E0B773f47D28f548742a23eFD73798332
7158,BURGER,Burger Swap,burger-swap,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f
7883,WELL,WELL,well-token,0xf07a32eb035b786898c00bb1c64d8c6f8e7a46d5
8602,AUCTION,Bounce Token,bounce-token,0x48DC0190dF5ece990c649A7A07bA19D3650a9572
9212,CUMMIES,CUMROCKET,cumrocket,0x27Ae27110350B98d564b9A3eeD31bAeBc82d878d
7590,DVI,Dvision Network,dvision-network,0x758fb037a375f17c7e195cc634d77da4f554255b
6928,BEL,Bella Protocol,bella-protocol,0x8443f091997f06a61670b735ed92734f5628692f
6536,OM,MANTRA DAO,mantra-dao,0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2
7460,AQT,Alpha Quark Token,alpha-quark-token,0xda5be69074afd12354173b4350ec9117e73e92e2
1768,ADX,AdEx Network,adx-net,0x6bff4fb161347ad7de4a625ae5aa3a1ca7077819
8387,AUTO,Auto,auto,0xa184088a740c695e156f91f5cc086a06bb78b827
