id,symbol,symbolName,slug,bscContract,isSold,isTrading,prevPrice,price,sellPrice,percentageDiff,sellPercentageDiff,datetime,sellDatetime,realBuyPrice,realSellPrice,buyURL,approveSellURL,sellURL
2,PUMPKIN,PumpkinSwap,PUMPKIN,0x4cdb8a542ec33bf30ce225f704db1451dc9d4e7d,0,1,1.23554882E-10,1.23554882E-10,,0,,2021-11-18 10:43:18.856246,,,,https://www.bscscan.com/tx/0x07661257e95a69e452cc8823e8ac5383258f6fe745d5ba2424a436e1afbc4a3e,,
0,AKI,Aki,AKI,0x148f7cbfbfe85df93fae1d12de2fb5cce0e898e5,0,1,0,8.4841592382919E-05,,100,,2021-11-18 10:43:32.968769,,,,https://www.bscscan.com/tx/0xf965f55fb6f3b459d4d96012438295d5dd5cc169037bf6f34fdcb2fff23affef,,
4,GB,GorillaBeast,GB,0xd09e85deb16f0219bc0f0df5cd6548f5c915819b,0,1,0.000560708518077,0.000560708518077,0.000802339606991,0,43.0939,2021-11-18 10:43:48.365749,2021-11-18 10:52:44.391603,,,https://www.bscscan.com/tx/0x0e0794c8626672828a96528d11b898ecf4553f7e0acf2dba06360707db4b2c65,https://www.bscscan.com/tx/0xba07982508dae174fb37d638511f7ca71a51c85feda9fa93092d7bac04f2af59,https://www.bscscan.com/tx/0x484c9becf8100bfa6c4b6c96b7ec4d0cfd88c418e1833247e22e95af8494e8b3
1,BULLPAD,BULLPAD,BULLPAD,0x49fa4c5884674833147ed6f284e82031ea09bda3,0,1,0.000437194128872,0.000437194128872,,0,,2021-11-18 17:32:33.229001,,,,https://www.bscscan.com/tx/0x852483a4a7ec0227d53bc1e83569a6866ac86d3d32b984056cf15867a272f10e,,
2,ZDOGE,ZOMBIEDOGE,ZDOGE,0x65a9387984a66e1eac31a9a04639cac40c85eb60,0,1,0.001036751600334,0.001036751600334,,0,,2021-11-18 17:33:47.850039,,,,https://www.bscscan.com/tx/0x3e32b0100bbde80cf93b2c20db105c186de8b283ddc55ef3d311560f681fcdf1,,
3,ARRGH,PirateFiance,ARRGH,0x2d3e4ba857ad9a8c203b0d3d3d7207aa7b91b4e1,0,1,6.412594E-12,6.412594E-12,,0,,2021-11-18 22:00:38.267013,,,,https://www.bscscan.com/tx/0x3f6b56a0363b91bd35cfd54e73ded6c5c14522190037ed039a8a2b8c0138c769,,
4,BEAR,BearCoin,BEAR,0x3b053511faf3d796b44fdb879b324515ad5f2d29,0,1,2.343104E-12,2.343104E-12,,0,,2021-11-18 22:00:41.585969,,,,,,
6,BABYROCO,BABYROCO,BABYROCO,0xcd4f5737dcd4aefeb88e441a102bdcd6fb48a1f7,0,1,0,3.9899960199789E-05,7.6742819540643E-05,100,92.3381,2021-11-18 22:00:45.118199,2021-11-18 22:06:08.334117,,,,,
9,TIME,Wonderland,TIME,0x9bb10e8d8ef8872ae9c69ee253f19d77ad30198c,0,1,1.43349402400204,1.43349402400204,2.26519708499931,0,58.0193,2021-11-18 22:00:48.763091,2021-11-18 22:09:38.720524,,,https://www.bscscan.com/tx/0xdfa117907a22f4ba4e62bd1db513a92bba77b37c8c433676bfe936a7f3899d44,,
0,SETL,SETLioFinance,SETL,0x1d39f1b8f80b0a13a43a6774a43d4c28e7b95902,0,1,0,0.000997490050037,0.005241789051353,100,425.4979,2021-11-18 22:00:52.974127,2021-11-18 22:43:39.331288,,,https://www.bscscan.com/tx/0xdecc2ec9407873e13fb3d619ab7e8243e582f70429d1aaaa746593da0c7d7da0,,
